Nome;Latitude;Longitude
Moedao BH;-20,1955;-43,9791
Moedinha;-20,193;-44,022
Moedinha;-20,2062;-44,0631
Moedinha BH;-20,1954;-43,9789
Moitao stone ramp;-20,896;-41,194
Monjolo;-19,5749;-40,9767
Monte Castelo;-20,4915;-41,8532
Monte verde;-22,8844;-46,0414
Moreira;-22,0053;-44,864
Morrinho da escolinha;-22,5397;-45,7696
Morrinho do Lei;-20,7568;-45,8639
Morro da Antena;-20,4759;-45,4484
Morro da Laje;-20,3137;-47,1367
Morro da Mesa;-19,6619;-46,7754
Morro da Torre;-18,7866;-42,9238
Morro das Antenas;-20,5968;-41,0917
Morro das Lavadeiras ;-19,4954;-42,5801
Morro das Tormentas;-20,9902;-46,1024
Morro das Torres Salinas;-16,1616;-42,2642
Morro de Caxambu;-21,9801;-44,9402
Morro de Santa Luzia;-20,4626;-45,4071
Morro do Cavalo;-20,4087;-47,2281
Morro do Cruzeiro;-21,7524;-45,2372
Morro do Cruzeiro ;-18,9918;-40,7435
Morro do Inhambu;-20,4034;-45,1403
Morro do Moreno;-20,3254;-40,2766
Morro do papai;-16,4064;-43,7473
Morrote antiga usina ;-21,414;-45,5289
Morrote do Alvim;-20,3795;-41,2044
Morrote do Japira;-19,4416;-40,3034
Orsini;-20,5023;-43,6861
Ouro Branco Hill;-20,5075;-43,6673
PEDRA AGUDA;-22,4761;-45,4464
PICO DO IBITURUNA;-19,0479;-42,0102
PIRACAIBA RAMPA NORTE;-18,4473;-48,4201
Palmital ;-18,6194;-41,42
Pancas;-19,2395;-40,8139
Parque do Sagui;-20,3546;-42,0153
Passa Quatro;-22,4088;-44,9331
Pasto de decolagem Dona Silvia;-19,4151;-44,1806
Pedra Amarela ;-16,1734;-40,7147
Pedra Bela Vista;-22,3755;-46,4768
Pedra Descolada;-20,8281;-41,1428
Pedra Grande;-20,1157;-44,3524
Pedra Preta;-20,121;-40,3265
Pedra Preta;-22,2516;-45,2471
Pedra da Baleia;-17,8202;-41,0026
Pedra da Concha;-20,4266;-40,3213
Pedra da Lajinha;-17,9968;-41,5644
Pedra de Ouro Verde de Minas ;-18,0597;-41,2695
Pedra do Calhau;-20,2712;-44,724
Pedra do Elefante;-22,1227;-46,4879
Pedra do Javali;-22,6122;-45,7936
Pedreira;-20,2815;-40,3226
Pedreira desativada;-22,5634;-45,5103
Penha Longa;-22,0332;-43,083
Pico Campo do Muro;-22,4195;-44,9156
Pico Dos Nogueira;-22,1411;-44,5817
Pico da Bandeira;-22,1892;-44,8185
Pico da Cascavel;-22,7547;-46,2851
Pico da Cascavel;-22,7796;-46,2157
Pico da Ibituruna;-18,861;-41,8612
Pico de Ibituruna;-18,9433;-41,9428
Pico de Ibituruna;-18,9059;-41,9191
Pico de Ibituruna;-18,8757;-41,9269
Pico do Chorao;-22,1089;-44,7424
Pico do Gaviao;-22,0697;-46,443
Pico do Gaviao;-22,0208;-46,6172
Pico do Gaviao;-22,0369;-46,5994
Pico do Gaviao;-22,0213;-46,6363
Pico do Gaviao;-22,0581;-46,6216
Pico do Gaviao;-22,0512;-46,5968
Pico do Gaviao;-22,0402;-46,6329
Pico do Gaviao;-22,052;-46,645
Pico do Gaviao;-22,0378;-46,6094
Pico do Gaviao;-22,0249;-46,626
Pico do Gaviao;-22,3324;-46,6279
Pico do Ibituruna;-18,9986;-41,9549
Pico do Ibituruna;-18,9016;-41,9346
Pico do Ibituruna;-18,8864;-41,915
Pico do Lobo Guara;-22,8247;-46,2559
Pico do Santo Agostinho;-22,1977;-44,7493
Pico do Schiavo;-20,496;-41,0972
Pico do papagaio;-22,0389;-44,6496
Pico do selado;-22,8945;-46,0481
Pico dos Abelheiros ;-19,0254;-41,0704
Pimenta;-20,5677;-45,876
Piuma beach;-20,8529;-40,7495
Pizzolato;-18,5813;-46,4705
Plantar hill;-19,4407;-44,3394
Pocos de Caldas;-21,729;-46,5925
Pocos de Caldas;-21,751;-46,558
Pocos de Caldas;-21,8426;-46,672
Pocos de Caldas;-21,763;-46,57
Ponte Alta de Minas;-20,7155;-42,2098
Portal da Lua;-20,4505;-41,8764
Pousada Limeira;-20,3365;-46,4286
Pousada Rural;-22,1135;-46,1333
Pouso Alegre;-22,2139;-46,0019
Pouso do enfermeiro ;-20,1268;-44,871
RAMP OF THE QUINZINHO;-18,742;-45,5973
RAMPA CAPITOLIO;-20,6287;-46,0966
RAMPA DA PEDRA BRANCA;-22,1737;-45,4276
RAMPA DA SERRA DO CIPO;-19,1454;-43,5126
RAMPA DO OSCAR;-19,2696;-42,0563
RAMPA PIRAPANEMA;-21,0926;-42,5009
RAMPA SUL PICO MACHADAO;-22,5874;-45,8147
RICO BRITTO MONTES CLAROS;-16,5511;-43,7968
RODRIGO;-22,017;-45,1739
Ramp Anutiba;-20,6153;-41,4463
Ramp Carmo;-17,4334;-44,5609
Ramp High Palmital;-19,6693;-40,9616
Ramp Ita;-18,5944;-40,8745
Ramp coffee;-20,8646;-41,5741
Ramp of Hope;-19,5089;-42,0748
Rampa Adilson da Pedra;-18,0473;-40,8208
Rampa Amazonia;-21,7528;-43,3996
Rampa Anutiba Wolverine Gaivota;-20,6147;-41,4002
Rampa Barra do Triunfo;-19,7243;-40,4757
Rampa Coca Cola;-19,2838;-41,5625
Rampa Dende Mateus Leme;-19,9569;-44,4328
Rampa Desterro do Mello;-21,1717;-43,5557
Rampa Do Testa;-20,2904;-42,0115
Rampa Fazenda Modelo;-19,6273;-44,0518
Rampa Galo Preto;-19,4942;-43,4403
Rampa Ipanema Raul Fonseca;-19,7491;-41,7348
Rampa Livramento Prados MG;-21,098;-44,0374
Rampa Nilson Werner;-20,4746;-41,9521
Rampa Norte de Carrancas;-21,4468;-44,6521
Rampa Nova Sarandira;-21,84;-43,2407
Rampa Oeste;-22,6013;-45,988
Rampa Pedra Amalha;-20,1006;-40,544
Rampa Pedra Preta;-22,0478;-45,6635
Rampa Pedra Preta;-22,0732;-45,0625
Rampa Pedro Fiorote;-19,6915;-40,9598
Rampa Pico do Cruzeiro ;-21,2195;-43,323
Rampa Ponto Chic;-19,6495;-44,6814
Rampa Portal da Lua;-20,525;-41,8972
Rampa Rancho Pedra Negra;-20,2439;-40,4498
Rampa Recanto do Vale;-21,6287;-43,2173
Rampa Sul CApituba;-22,467;-45,4965
Rampa Sul Itapecerica;-20,5042;-45,1383
Rampa Sul Piranguinho;-22,416;-45,5316
Rampa Sul Pombal;-20,7358;-41,4593
Rampa Vale do Sol ;-21,6376;-45,4967
Rampa Xambura;-20,6572;-46,5316
Rampa Xambura;-20,565;-46,4143
Rampa da Bela;-19,3375;-41,5538
Rampa da Capitinga ;-22,2301;-44,8693
Rampa da Cemig;-19,944;-44,4339
Rampa da Grota Azul;-21,6005;-42,9805
Rampa da Lagoa;-22,2645;-45,432
Rampa da Lagoa;-22,2929;-45,4396
Rampa da Lagoa Preta;-19,7139;-41,1371
Rampa da Lajinha;-19,2378;-40,8448
Rampa da Mangueira;-20,8413;-41,262
Rampa da Miragem;-18,2555;-40,7147
Rampa da Mucambo;-19,2754;-44,8737
Rampa da Neblina;-22,2164;-46,294
Rampa da Pedra Quadrada;-21,6289;-43,2541
Rampa da Pedra Sant Ana;-20,0947;-41,925
Rampa da Serrinha;-20,3902;-41,4837
Rampa da Trindade;-18,7351;-41,4595
Rampa da Urtiga;-20,2758;-40,4444
Rampa da boa vista Catas Altas;-20,0746;-43,4265
Rampa da mangueira;-19,4707;-42,0668
Rampa das Andorinhas;-20,859;-41,1414
Rampa de Cachoeira Alta;-20,6623;-40,7759
Rampa de Cachoeira Alta;-20,6724;-40,768
Rampa de Dionisio;-19,8624;-42,8379
Rampa de Espera Feliz;-20,6675;-41,8946
Rampa de Ibituba;-19,6583;-40,9858
Rampa de Lavras Minas Gerais;-21,2267;-44,9899
Rampa de Lavras Minas Gerais;-21,3236;-45,0071
Rampa de Machados  MG;-21,6774;-43,1211
Rampa de Matias Barbosa;-21,8736;-43,3373
Rampa de Palmital;-20,9382;-41,6893
Rampa de Resplendor;-19,2009;-41,1903
Rampa de Rochedo de Minas;-21,6597;-42,9924
Rampa de Tuiutinga;-21,066;-42,7094
Rampa de Tuiutinga;-21,0932;-42,7285
Rampa de Ubaporanga oeste;-19,6593;-42,0768
Rampa de machados;-21,6767;-43,1449
Rampa do Artur;-20,3892;-40,4883
Rampa do Carlinhos;-21,7574;-43,2779
Rampa do Carrapato;-22,289;-45,4304
Rampa do Container;-21,9926;-45,9388
Rampa do Cristo;-22,2171;-45,9633
Rampa do Cruzeiro;-22,6085;-45,6246
Rampa do Cruzeiro;-20,6945;-45,9161
Rampa do Danda Itamonte mg;-22,2707;-44,9027
Rampa do Dourado;-18,9811;-40,4334
Rampa do Elefante;-18,7861;-40,4464
Rampa do Expominas;-21,8081;-43,4452
Rampa do Gaucho;-21,0319;-42,9912
Rampa do Guru;-20,0687;-45,0461
Rampa do Guru;-20,1475;-44,9338
Rampa do Gururu;-20,6223;-40,7424
Rampa do Jhon;-20,1355;-45,0182
Rampa do Mantedonio;-21,5254;-43,0359
Rampa do Maquigi;-19,5009;-40,8559
Rampa do Marcelo;-19,6695;-43,8906
Rampa do Marco Tulio;-22,0022;-44,6538
Rampa do Megalito;-22,6078;-46,3818
Rampa do Meio;-20,4506;-45,2947
Rampa do Messias;-19,0852;-40,7373
Rampa do Panorama;-19,341;-40,3656
Rampa do Pedrinho;-19,761;-41,0012
Rampa do Romeu;-22,6624;-46,0187
Rampa do Rovilson;-21,8808;-45,945
Rampa do TANA;-19,9098;-41,4726
Rampa do Timirim ;-19,2835;-40,4103
Rampa do Veinho;-18,9584;-40,3276
Rampa do Veinho;-18,9613;-40,3379
Rampa do caete;-21,8438;-43,2982
Rampa do espinho;-18,3533;-40,7724
Rampa do titia bp;-21,0772;-46,2097
Rampa do titio;-22,3551;-44,889
Rampa do veinho ;-18,9104;-40,307
Rampa dos Cabritos;-19,2628;-40,4344
Rampa dos Periquitos;-20,5907;-44,9074
Rampa dos Plantikow;-19,7362;-40,9974
Rampa leste morro das antenas ;-21,5423;-42,9627
Rampa mamona beach;-20,5787;-41,1686
Rampa mirante da princesa;-19,5864;-40,5648
Rampa norte;-21,746;-46,5484
Rampa serra da roseira;-20,8085;-41,5221
Rampinha Pituta;-22,5957;-45,7761
Rampinha Sul Pituta;-22,6184;-45,7712
Rancho Pedra Negra;-20,2363;-40,4695
Rapa Pedra Areada;-22,1825;-45,4389
Recreio Mg;-21,5092;-42,5308
Represa;-21,6451;-43,3973
Retiro ;-21,7815;-43,3058
Rico Brito Montes Claros;-16,5612;-43,8015
Rio das Ostras;-21,8916;-43,3173
Rp Oeste Laginha ;-19,1515;-40,758
SAO LOURENCO;-22,0994;-45,0664
SEM TERRA ;-19,2356;-42,0149
SERRA ;-19,35;-42,568
SERRA DA CORUJA;-16,5341;-41,5294
Sabadine take off ;-21,0627;-41,2473
Santa Luzia Capel;-19,9237;-40,7836
Santa Rita;-22,1817;-45,7429
Santa Rita do Sapucai;-22,1899;-45,7789
Santa Rita do Sapucai;-22,2194;-45,745
Santa Rita do Sapucai;-22,1956;-45,7513
Santa Rita do Sapucai;-22,164;-45,7419
Santa Rita do Sapucai;-22,2481;-45,7548
Santa Rita do Sapucai;-22,2199;-45,7117
Santa Rita do Sapucai;-22,3557;-45,9172
Santa Rita do Sapucai;-22,2646;-45,8157
Santa Rita do Sapucai;-22,2836;-45,727
Santa rita;-22,2547;-45,8298
Santa rita do sapucai;-22,2113;-45,7244
Santaninha;-17,7651;-41,3211
Santuario;-22,0432;-44,6639
Secret;-20,319;-40,5011
Sengo;-22,1468;-44,8836
Sentado na Mandioca;-16,9597;-44,2009
Sentado na minhoca;-19,6694;-44,7081
Sentei no Pepino;-16,8247;-43,8492
Sera de Pimenta;-20,5753;-45,8698
Serra Cumprida;-22,071;-46,5726
Serra Da Paula;-21,9714;-44,7846
Serra Maria;-21,9875;-44,7567
Serra Negra;-22,2272;-45,139
Serra Posto do Sol;-20,9899;-46,9948
Serra Verde;-19,7939;-43,9617
Serra da Moeda;-20,1904;-43,9989
Serra da Paula;-21,9785;-44,7751
Serra da Pedra Bonita;-21,5997;-42,361
Serra da Ventania;-19,662;-47,0412
Serra da Viuva;-19,3789;-42,5801
Serra da Viuva ;-19,3498;-42,5483
Serra de Itapecerica;-20,4347;-45,1287
Serra do Bandeira;-22,0629;-44,882
Serra do Brigadeiro ;-20,629;-42,3896
Serra do Cristo;-22,213;-45,9259
Serra do Piripau;-21,9017;-45,2475
Serra do Piripau;-21,8943;-45,2965
Serra do Piripau;-21,935;-45,2652
Serra do Piripau;-21,9634;-45,2305
Serra do Salitre;-19,0704;-46,6719
Serra do Segredo;-20,7442;-44,4503
Serra do Trov;-20,4646;-43,5299
Serrania;-21,5749;-46,014
Silvio Quest;-21,3078;-44,5611
Sitio Felix;-19,9966;-40,3855
Skysete Scool;-19,4464;-44,2529
Soares;-20,2097;-43,9807
Socorro Pico da Cascavel;-22,7665;-46,188
Soldier peak;-18,9962;-43,4025
South;-21,7328;-46,4899
South Little Church;-20,9993;-45,6256
Sto Menelli Flight Ramp;-18,6651;-40,0734
Stone House;-21,0877;-44,1903
Tabuleiro;-18,7988;-42,3103
Take off of Lacinho;-22,4955;-46,184
Takeof Chico da Serra;-21,0982;-43,6106
Takeoff ;-20,7084;-42,054
Tales oferecer mujano;-22,507;-45,7179
Taquaral Grange;-22,5303;-45,5115
Test;-20,5811;-43,902
Timbui;-20,0467;-40,4592
Toca do urubu;-21,9825;-44,8856
Torre da Embratel ;-19,8358;-42,102
Torre de Gironda;-20,7198;-41,0862
Tower CMD;-19,0414;-43,4103
