;ID_voo;Data;kmOLC;Pontuacao_OLC;local_voo;duracao;Espaco_aereo;Piloto;Categoria;Vela;Data_Coleta;Voo_data_valido;Voo_rampa_valida
1885;666717;11/02/2023;3.4;5.16;Afonso Claudio ;0:12;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;True;True
1886;659479;16/01/2023;48.3;5.16;Mariana ;2:30;False;Hemerson Souza;Sport Lite;Swing - Nyos 2;2023-04-16;False;True
1887;608400;06/06/2022;3.4;5.16;Itabira ;0:16;False;Francisco Reis;Sport Lite;Niviuk - Ikuma;2023-04-16;False;True
1888;425624;29/12/2019;3.4;5.16;Rampa do Caf;0:28;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;True
1889;540600;25/08/2021;3.4;5.14;Afonso Claudio ;0:13;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;False;True
1890;679170;01/04/2023;3.4;5.14;Alfredo Chaves  ;0:09;False;Bruno Mazzei;Sport;Phi - Allegro Light;2023-04-16;True;True
1891;643399;23/10/2022;3.4;5.12;Alfredo Chaves ;0:10;False;Lucas Porto ;Open;Ozone - Zeolite GT;2023-04-16;False;True
1892;363046;14/10/2018;3.4;5.1;Alfredo Chaves ;0:05;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1893;651349;24/09/2022;3.4;5.09;Soares ;0:12;False;Paulim Gogo;Open;Ozone - Zeno;2023-04-16;False;True
1894;611794;19/06/2022;3.4;5.08;Pr;0:10;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
1895;463797;12/09/2020;3.4;5.08;Baixo Guandu ;0:37;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1896;678209;26/03/2023;3.4;5.03;Afonso Claudio ;0:15;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1897;544873;10/09/2021;3.3;5.01;Afonso Claudio ;0:52;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;False;True
1898;640706;10/09/2022;3.3;5.0;Pancas ;0:08;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;False;True
1899;462568;06/09/2020;3.3;5.0;Pr;0:21;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;True
1900;363045;27/10/2018;3.3;4.98;Alfredo Chaves ;0:36;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1901;672420;05/03/2023;3.3;4.97;Afonso Claudio ;0:35;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1902;682206;15/04/2023;3.3;4.97;Alfredo Chaves ;0:08;False;Ney de Oliveira;Sport Lite;Ozone - Rush 5;2023-04-16;True;True
1903;659017;13/01/2023;3.3;4.96;Rampa de Lajinha do Pancas ;0:22;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;True;True
1904;329518;06/05/2018;3.3;4.95;Rampa do Caf;0:20;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;True
1905;666716;12/02/2023;2.5;4.95;Afonso Claudio ;0:24;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;True;True
1906;611832;11/06/2022;3.3;4.93;Vila Val;0:33;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
1907;640854;10/10/2022;3.3;4.92;Rampa do Timirim  ;0:14;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1908;426382;02/01/2020;3.3;4.91;Rampa Adilson da Pedra ;0:10;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;False
1909;621612;18/07/2022;3.3;4.9;Rampa de Lajinha do Pancas ;0:23;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1910;640793;01/10/2022;3.2;4.85;Rampa de Lajinha do Pancas ;0:17;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1911;659197;15/01/2023;3.2;4.83;Afonso Claudio ;0:54;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1912;585080;06/03/2022;3.2;4.8;Pancas ;0:10;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;False;True
1913;667172;14/02/2023;3.2;4.79;Afonso Claudio ;0:30;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1914;599460;05/11/2021;2.4;4.79;Rampa de Cachoeira Alta ;0:08;False;Bruno Mazzei;Sport;Phi - Allegro Light;2023-04-16;False;False
1915;665133;29/01/2023;2.4;4.76;Afonso Claudio ;1:09;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
1916;532453;24/07/2021;2.4;4.75;Santa Teresa ;0:22;False;Jefferson Felicio ;Sport Lite;BGD - Base 2;2023-04-16;False;True
1917;669280;30/12/2022;3.1;4.7;Rampa de Lajinha do Pancas ;0:54;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;False;True
1918;678013;24/03/2023;3.1;4.68;Rampa de Lajinha do Pancas ;0:21;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;True;True
1919;570548;02/01/2022;3.1;4.66;Afonso Claudio ;1:01;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;False;True
1920;613504;11/06/2022;3.1;4.65;Rampa de Lajinha do Pancas ;0:10;False;Vantuil Mataveli;Sport;Ozone - Delta 4;2023-04-16;False;True
1921;609661;04/06/2022;3.1;4.65;Pancas ;0:11;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1922;427919;12/01/2020;3.1;4.62;Rampa do Ben;0:13;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;False
1923;477424;06/12/2020;3.1;4.62;Rampa de Lajinha do Pancas ;0:39;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1924;621609;16/07/2022;3.1;4.61;Pancas ;0:08;False;Leandro Schmidt;Sport;Ozone - Delta 3 ;2023-04-16;False;True
1925;634595;28/08/2022;3.1;4.6;Rampa Cleiton ;0:12;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;False
1926;629623;24/08/2022;3.0;4.57;Rampa do Timirim  ;0:10;False;Claudinei Inocente ;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1927;678210;26/03/2023;3.0;4.56;Afonso Claudio ;0:09;False;Valentin Tesch ;Sport Lite;Sol - Sycross 2;2023-04-16;True;True
